id,nombre,tipo,tiempo, velocidadP
1,Colmillo,BMX,91,0.109890
13,Scooby,BMX,55,0.181818
15,Boby,BMX,30,0.333333
16,Beethoven,BMX,61,0.163934
18,Spunky,BMX,18,0.555556
19,Lassie,BMX,31,0.322581
20,Colmillo,BMX,25,0.400000
25,Max,BMX,69,0.144928
26,Beethoven,BMX,17,0.588235
27,Buster,BMX,54,0.185185
36,Charlie,BMX,53,0.188679
42,Firulais,BMX,59,0.169492
45,Lassie,BMX,61,0.163934
48,Buster,BMX,30,0.333333
49,Colmillo,BMX,2,5.000000
50,Buster,BMX,3,3.333333
52,Einstein,BMX,96,0.104167
54,Buster,BMX,15,0.666667
67,Charlie,BMX,52,0.192308
69,Spunky,BMX,86,0.116279
78,Bonnie,BMX,36,0.277778
82,Charlie,BMX,72,0.138889
85,Charlie,BMX,26,0.384615
93,Max,BMX,81,0.123457
98,Reina,BMX,78,0.128205
100,Buster,BMX,6,1.666667
